density,burnt
1,0
1,0.009708738
1,0.009009009
1,0.011111111
1,0.009090909
1,0.019417476
1,0.011904762
1,0
1,0.03030303
1,0.010638298
2,0.004385965
2,0.004545455
2,0.019417476
2,0.004807692
2,0
2,0.010362694
2,0.008733624
2,0.009478673
2,0.014150943
2,0.020618557
3,0.009463722
3,0.010169492
3,0.006535948
3,0.00955414
3,0.012861736
3,0.015243902
3,0.00297619
3,0.003378378
3,0.015037594
3,0.003584229
4,0.007653061
4,0.007556675
4,0.005050505
4,0.012195122
4,0.007692308
4,0.016085791
4,0.004807692
4,0.007075472
4,0.011990408
4,0.007092199
5,0.013435701
5,0.005769231
5,0.019927536
5,0.007952286
5,0.01
5,0.018348624
5,0.003921569
5,0.007518797
5,0.007936508
5,0.014893617
6,0.007936508
6,0.012259194
6,0.0064
6,0.013913043
6,0.003466205
6,0.005033557
6,0.005042017
6,0.009584665
6,0.01025641
6,0.0078125
7,0.002724796
7,0.009446694
7,0.008064516
7,0.00405954
7,0.011627907
7,0.013422819
7,0.010144928
7,0.008207934
7,0.010204082
7,0.008849558
8,0.00482509
8,0.007125891
8,0.016666667
8,0.00879397
8,0.011378003
8,0.009779951
8,0.009592326
8,0.00255102
8,0.007682458
8,0.004950495
9,0.008978676
9,0.010928962
9,0.004597701
9,0.006282723
9,0.00220022
9,0.004347826
9,0.007518797
9,0.010604454
9,0.009646302
9,0.006857143
10,0.007223942
10,0.008
10,0.011892963
10,0.012396694
10,0.015120968
10,0.007992008
10,0.00605449
10,0.007035176
10,0.002944063
10,0.0078125
11,0.008583691
11,0.006352087
11,0.005314438
11,0.009515571
11,0.007272727
11,0.009683099
11,0.011638317
11,0.007373272
11,0.010507881
11,0.013812155
12,0.008305648
12,0.009946442
12,0.009844135
12,0.006410256
12,0.007383101
12,0.011952191
12,0.014785992
12,0.010186757
12,0.008136697
12,0.01073493
13,0.008797654
13,0.008856089
13,0.008409786
13,0.005830904
13,0.0121673
13,0.011801731
13,0.008142117
13,0.01171875
13,0.009167303
13,0.007680492
14,0.008609272
14,0.009206799
14,0.006392045
14,0.004192872
14,0.006460876
14,0.013581129
14,0.012116892
14,0.015646259
14,0.011220196
14,0.009504413
15,0.008974359
15,0.007142857
15,0.014369693
15,0.007208388
15,0.007087629
15,0.01192053
15,0.008894536
15,0.013274336
15,0.005280528
15,0.007279947
16,0.00872818
16,0.007334963
16,0.011329756
16,0.004993758
16,0.008
16,0.008365508
16,0.009569378
16,0.009305211
16,0.007481297
16,0.008684864
17,0.00575374
17,0.009054895
17,0.00754498
17,0.011001737
17,0.007311586
17,0.005157593
17,0.010291595
17,0.009775733
17,0.008298755
17,0.010801592
18,0.011976048
18,0.007478632
18,0.010242588
18,0.015045674
18,0.008390142
18,0.015743757
18,0.008008542
18,0.011296396
18,0.008547009
18,0.01047409
19,0.011702128
19,0.005687694
19,0.006725297
19,0.017423442
19,0.010230179
19,0.009630819
19,0.011840689
19,0.008452192
19,0.005367687
19,0.014667365
20,0.007507508
20,0.005925926
20,0.007912957
20,0.011403074
20,0.011494253
20,0.00691358
20,0.010551559
20,0.006806028
20,0.007703418
20,0.004970179
21,0.004777831
21,0.009647853
21,0.010907288
21,0.007480131
21,0.008974965
21,0.007369876
21,0.010682768
21,0.006077606
21,0.0067659
21,0.007042254
22,0.006648936
22,0.010999083
22,0.005427408
22,0.007545495
22,0.006824386
22,0.011443662
22,0.008703619
22,0.010123239
22,0.008974965
22,0.014466546
23,0.012603216
23,0.014309764
23,0.008993576
23,0.007715388
23,0.003479774
23,0.007748601
23,0.01164295
23,0.012599748
23,0.012451696
23,0.007230966
24,0.007648953
24,0.01092233
24,0.011042945
24,0.008560946
24,0.010309278
24,0.007133865
24,0.009500207
24,0.010330579
24,0.008674102
24,0.009220453
25,0.008768434
25,0.006979449
25,0.01018011
25,0.012233623
25,0.006286837
25,0.010840108
25,0.011235955
25,0.012490242
25,0.006354249
25,0.009040881
26,0.008835959
26,0.010077519
26,0.007815408
26,0.011472983
26,0.008352316
26,0.009927453
26,0.006065201
26,0.013427825
26,0.013988658
26,0.010678871
27,0.011005136
27,0.014362657
27,0.010576222
27,0.010436079
27,0.007428369
27,0.011334552
27,0.010435408
27,0.00841566
27,0.009308987
27,0.008409506
28,0.015146178
28,0.011739594
28,0.010797631
28,0.009993108
28,0.011498383
28,0.013807387
28,0.008432888
28,0.009433962
28,0.010093978
28,0.009310345
29,0.009392821
29,0.012211669
29,0.009392821
29,0.015140845
29,0.008514986
29,0.007649513
29,0.009608785
29,0.008193923
29,0.010601915
29,0.010832769
30,0.008754864
30,0.011394102
30,0.015909844
30,0.00998004
30,0.020241593
30,0.009495743
30,0.012301716
30,0.007501631
30,0.011006798
30,0.00914435
31,0.01539912
31,0.010810811
31,0.011750155
31,0.007638447
31,0.01394484
31,0.011938423
31,0.009535919
31,0.006414368
31,0.008533502
31,0.012377023
32,0.010048721
32,0.02059358
32,0.00989802
32,0.007460367
32,0.008454106
32,0.012971342
32,0.011732016
32,0.011472868
32,0.01339014
32,0.011331445
33,0.01056338
33,0.007213706
33,0.017205577
33,0.011599512
33,0.011457109
33,0.011114449
33,0.012019231
33,0.013553329
33,0.016173329
33,0.01089838
34,0.013321492
34,0.008506894
34,0.009351257
34,0.014714368
34,0.009298394
34,0.013749642
34,0.009784173
34,0.010641443
34,0.016516952
34,0.012320329
35,0.012188366
35,0.014631401
35,0.007365439
35,0.014738598
35,0.013596004
35,0.007116425
35,0.010719323
35,0.009566685
35,0.009762901
35,0.012733447
36,0.01490889
36,0.022900763
36,0.011790513
36,0.011859838
36,0.02551156
36,0.009120172
36,0.016785911
36,0.013654618
36,0.011819681
36,0.011829436
37,0.01280683
37,0.011151452
37,0.017012228
37,0.019170168
37,0.01631765
37,0.014293139
37,0.008730159
37,0.014403841
37,0.009541479
37,0.010800843
38,0.017875648
38,0.014256091
38,0.011204482
38,0.016145566
38,0.020015396
38,0.013395157
38,0.010986203
38,0.011506009
38,0.016461981
38,0.01063278
39,0.010974987
39,0.011147707
39,0.013261297
39,0.017884131
39,0.019431988
39,0.013258542
39,0.01831595
39,0.015472922
39,0.015920398
39,0.011281023
40,0.018786127
40,0.011061947
40,0.009055311
40,0.015473888
40,0.013493621
40,0.008424182
40,0.015155219
40,0.016666667
40,0.033076349
40,0.010469929
41,0.013227513
41,0.008194746
41,0.011414982
41,0.01627907
41,0.010419191
41,0.017912587
41,0.017489219
41,0.017531391
41,0.017204808
41,0.01518747
42,0.006445672
42,0.019415205
42,0.020018622
42,0.006725417
42,0.020967742
42,0.014834
42,0.016475645
42,0.012586084
42,0.012017564
42,0.017038913
43,0.015281315
43,0.019634703
43,0.020311442
43,0.021769019
43,0.014256151
43,0.022389765
43,0.021081577
43,0.010755149
43,0.023143905
43,0.010681818
44,0.020261438
44,0.018318252
44,0.02256479
44,0.011846223
44,0.010857523
44,0.02006689
44,0.0172949
44,0.012777404
44,0.010437486
44,0.01894452
45,0.027485506
45,0.01709767
45,0.022098262
45,0.01784534
45,0.013752456
45,0.01598934
45,0.013276231
45,0.010318332
45,0.013808463
45,0.035377358
46,0.019847973
46,0.030034572
46,0.029506784
46,0.029176572
46,0.017431973
46,0.01201771
46,0.015862944
46,0.011370815
46,0.033898305
46,0.017361846
47,0.027027027
47,0.00973488
47,0.014222966
47,0.023029046
47,0.018728956
47,0.016684046
47,0.02093364
47,0.015220074
47,0.01406086
47,0.013941698
48,0.042301524
48,0.013268014
48,0.028298046
48,0.00860127
48,0.042801556
48,0.015362259
48,0.022554849
48,0.011948157
48,0.030377668
48,0.022866476
49,0.019234663
49,0.025231618
49,0.028525512
49,0.030149737
49,0.0198
49,0.019057172
49,0.032997988
49,0.098265896
49,0.072164948
49,0.038761239
50,0.027578171
50,0.028418844
50,0.034924331
50,0.025807723
50,0.07771718
50,0.076089061
50,0.045039683
50,0.066496665
50,0.020759193
50,0.058777886
51,0.039930889
51,0.035892514
51,0.025231125
51,0.091051805
51,0.024021184
51,0.023531663
51,0.017293805
51,0.039976936
51,0.041349085
51,0.027199074
52,0.026535535
52,0.02266342
52,0.043519939
52,0.020520616
52,0.048582231
52,0.056300775
52,0.049691762
52,0.033232055
52,0.044098573
52,0.097998878
53,0.066939383
53,0.090101758
53,0.025314082
53,0.059825961
53,0.037835862
53,0.018089316
53,0.039204859
53,0.031654943
53,0.054959289
53,0.048132317
54,0.137830976
54,0.057518032
54,0.127883742
54,0.065036131
54,0.020959735
54,0.128298453
54,0.07821836
54,0.110239095
54,0.034795484
54,0.075648415
55,0.064866824
55,0.207519884
55,0.094672426
55,0.082069581
55,0.025175328
55,0.329240078
55,0.142553944
55,0.033540373
55,0.067089755
55,0.145822339
56,0.052160169
56,0.368045897
56,0.225236262
56,0.032423813
56,0.06019656
56,0.039545057
56,0.144252573
56,0.15889495
56,0.278555383
56,0.241336851
57,0.103222471
57,0.097756132
57,0.2207415
57,0.038316151
57,0.02397792
57,0.532398701
57,0.027380747
57,0.271553949
57,0.193801149
57,0.035554792
58,0.039973014
58,0.11759686
58,0.521680672
58,0.386894683
58,0.265890012
58,0.12465847
58,0.378662151
58,0.471117907
58,0.378038558
58,0.019125683
59,0.179996688
59,0.451052456
59,0.250697751
59,0.281858335
59,0.731880469
59,0.399065732
59,0.298389747
59,0.014160486
59,0.532062966
59,0.221913328
60,0.66442623
60,0.696443206
60,0.786248375
60,0.678132678
60,0.354101077
60,0.762516255
60,0.476080881
60,0.163958641
60,0.50724166
60,0.746601942
61,0.879601833
61,0.735615558
61,0.447326031
61,0.431304348
61,0.728601592
61,0.725747163
61,0.756970185
61,0.728231347
61,0.561887943
61,0.800097119
62,0.685332485
62,0.874648328
62,0.490666238
62,0.841831917
62,0.865813182
62,0.87158984
62,0.594299287
62,0.860086768
62,0.877409163
62,0.737119158
63,0.779450567
63,0.647549853
63,0.851511374
63,0.657486546
63,0.894555155
63,0.904739777
63,0.916205412
63,0.756819953
63,0.815365358
63,0.825827711
64,0.917058378
64,0.925931582
64,0.922651084
64,0.914003044
64,0.921486966
64,0.884321516
64,0.901960784
